# Committing increasingly large numbers of files
# 
# reformat_partition: /dev/murphytest01-vg/test
# data_gen:           random
# vcs:                bup
# each_file_size:     0x400 bytes (1.0KiB)
# timeout:            19800.0
# vcs_version:        debian/0.25-1
# 
# date:          2017-04-06T14:54:31.429711
# commandline:   ./increasing_number_of_files.py bup 0 8 --mag-step=4 --data-gen=random --timeout=19800 --tmp=/test --reformat-partition /dev/murphytest01-vg/test
# testversion:   7146442 Leave timeout info as comment in output
# hostname:      murphytest01
# platform:      Linux-3.16.0-4-amd64-x86_64-with-debian-8.6
# memtotal:      8064260 kB
# memfree:       7865424 kB
# 
# pythonversion:
#     2.7.9 (default, Jun 29 2016, 13:08:31) 
#     [GCC 4.9.2]
# 
# cpuinfo:
#     processor	: 0
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
#     
#     processor	: 1
#     model name	: Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
#     cpu MHz		: 3166.000
#     cache size	: 6144 KB
# 
# fsinfo:
#     Filesystem                         Size  Used Avail Use% Mounted on
#     /dev/mapper/murphytest01--vg-test  197G   60M  197G   1% /test
# 
# diskinfo:
#     sda	vendor: ATA, model: ST3250318AS	scheduler: noop deadline [cfq]
# 
# Command results:
# ok:      Command completed successfully
# no_exec: Command was never executed
# failed:  Command failed
# 
# Verification results:
# ver_err:  Could not verify due to error during verification
# no_ver:   Verification was never performed
# bad:      Verification discovered an error
# verified: Verified OK
# assumed:  Assumed ok because dependent commands successful
# 
mag     filecount    totalbytes   cre_time    c1_time       c1_size   c1_cmd    c1_ver   c1_repo     c1_user     c1_nice   c1_system     c1_idle   c1_iowait  stat1_time  stat1_cmd  stat2_time  stat2_cmd    c2_time       c2_size   c2_cmd    c2_ver   c2_repo     c2_user     c2_nice   c2_system     c2_idle   c2_iowait  cleanup_time
  0             1  0x0000000400      0.000      1.305  0x0000025000       ok  verified   assumed          21           0           8         218          15       1.605         ok       2.006         ok      1.205  0x0000027000       ok  verified   assumed          21           0           7         209           4         3.108
  0             2  0x0000000800      0.001      0.804  0x0000026000       ok  verified   assumed          22           0           7         126           6       1.706         ok       2.006         ok      1.204  0x0000028000       ok  verified   assumed          24           0           5         207           3         3.209
  0             4  0x0000001000      0.001      0.704  0x0000029000       ok  verified   assumed          19           0          10         109           4       1.706         ok       2.006         ok      1.305  0x000002b000       ok  verified   assumed          21           0           7         220          12         3.108
  0             6  0x0000001800      0.001      0.704  0x000002b000       ok  verified   assumed          24           0           4         108           5       1.706         ok       2.007         ok      1.205  0x000002d000       ok  verified   assumed          17           0          11         211           3         3.108
  1            10  0x0000002800      0.001      0.804  0x0000030000       ok  verified   assumed          22           0           6         129           4       1.705         ok       2.007         ok      1.205  0x0000032000       ok  verified   assumed          22           0           7         209           5         3.108
  1            25  0x0000006400      0.003      0.904  0x0000043000       ok  verified   assumed          21           0           7         148           3       1.605         ok       2.006         ok      1.205  0x0000045000       ok  verified   assumed          21           0           9         207           3         3.107
  1            50  0x000000c800      0.009      0.904  0x0000064000       ok  verified   assumed          23           0           8         148           4       1.606         ok       2.006         ok      1.205  0x0000067000       ok  verified   assumed          24           0           7         199          12         3.108
  1            75  0x0000012c00      0.009      0.904  0x0000085000       ok  verified   assumed          25           0           7         146           3       1.606         ok       2.006         ok      1.305  0x0000088000       ok  verified   assumed          25           0           7         224           4         3.008
  2           100  0x0000019000      0.011      0.904  0x00000a6000       ok  verified   assumed          25           0           8         144           4       1.706         ok       1.906         ok      1.405  0x00000aa000       ok  verified   assumed          24           0           9         242           8         3.008
  2           250  0x000003e800      0.035      0.904  0x0000184000       ok  verified   assumed          34           0           7         135           4       1.505         ok       2.006         ok      1.405  0x000018b000       ok  verified   assumed          31           0          11         235           5         3.208
